id,company_name,promoter_name,gstin,pan,state,sector,annual_turnover_inr,annual_turnover_lakhs,net_profit_inr,profit_margin_pct,total_assets_inr,total_liabilities_inr,net_worth_inr,existing_loans_inr,collateral_value_inr,loan_requested_inr,loan_requested_lakhs,debt_equity_ratio,dscr,collateral_coverage,existing_loan_burden,business_vintage_years,employee_count,gst_filing_months,nil_filing_months,bank_gst_mismatch_pct,itc_ratio_pct,cibil_score,litigation_flag,promoter_risk_flag,ai_credit_score,risk_category,recommendation,default_flag
19,Joshi Technologies & Co,Dinesh Bhatia,33QQQJU4919I2Z4,QQQJU4919I,Tamil Nadu,Retail,12312160,123.1,855751,6.95,4871991,2494379,2377611,1971343,998916,2091626,20.9,1.05,3.76,0.48,0.16,23,79,10,2,6.07,7.13,893,0,0,100.0,LOW,APPROVE,0
20,Iyer & Chopra Trading Co Pvt Ltd,Manish Khanna,36YYYTW1320Y3ZO,YYYTW1320Y,Telangana,IT/ITES,14351172,143.5,4131845,28.79,9683970,5717696,3966274,3341888,4583379,2200827,22.0,1.44,10.72,2.08,0.23,17,16,8,4,16.11,39.0,623,0,0,100.0,LOW,APPROVE,0
21,Mukesh Trading Co Ltd,Ganesh Tandon,29SSSTV1444C3ZR,SSSTV1444C,Karnataka,Pharmaceuticals,19134702,191.3,1452101,7.59,14152312,11129554,3022758,7210830,14293896,10713499,107.1,3.68,1.47,1.33,0.38,14,30,8,4,9.04,17.0,447,0,0,71.9,MEDIUM,APPROVE WITH CONDITIONS,0
22,Kapil Rao Traders LLP,Vikas Bhatt,24UUUAY1508H1Z1,UUUAY1508H,Gujarat,Textile,35723698,357.2,3215255,9.0,19021997,14767955,4254042,7558476,18831085,13860219,138.6,3.47,2.51,1.36,0.21,8,53,5,7,29.02,39.13,732,0,0,77.7,LOW,APPROVE WITH CONDITIONS,0
23,Kulkarni & Shah Solutions LLP,Naresh Chopra,27WWWFC4978D3ZJ,WWWFC4978D,Maharashtra,Manufacturing,52482263,524.8,5993617,11.42,31813925,5584310,26229615,4012877,5276195,32777042,327.8,0.21,1.98,0.16,0.08,4,87,12,0,50.66,25.83,754,0,0,74.7,MEDIUM,APPROVE WITH CONDITIONS,0
24,Vikram Associates LLP,Deepak Arora,09IIITZ9817Y2ZT,IIITZ9817Y,Uttar Pradesh,Chemicals,44799255,448.0,5098718,11.38,18285035,4655367,13629668,2444890,5782216,25442078,254.4,0.34,2.17,0.23,0.05,28,49,8,4,25.53,17.47,702,0,0,81.8,LOW,APPROVE,0
25,Tandon Products,Harish Sinha,09IIIPA9464G1ZF,IIIPA9464G,Uttar Pradesh,Food Processing,4002447,40.0,391624,9.78,3592273,1528611,2063663,755328,1457007,1268876,12.7,0.74,3.34,1.15,0.19,7,89,11,1,18.93,5.21,554,0,0,100.0,LOW,APPROVE,0
26,Ritu Exports,Arjun Sinha,29IIIGI4777D3ZC,IIIGI4777D,Karnataka,Retail,11932656,119.3,261797,2.19,4374796,3514958,859838,2106654,2023754,5469831,54.7,4.09,0.52,0.37,0.18,19,104,11,1,12.23,19.58,717,0,0,60.4,MEDIUM,CONDITIONAL APPROVAL,0
27,Rajesh Desai Trading Co LLP,Ramesh Singh,36RRRGW3068U2Z6,RRRGW3068U,Telangana,Pharmaceuticals,62649970,626.5,-1424615,-2.27,22106436,16359747,5746689,7942062,6580288,31076692,310.8,2.85,0.3,0.21,0.13,29,46,7,5,29.85,25.53,528,0,0,56.2,MEDIUM,CONDITIONAL APPROVAL,0
28,Gupta Works,Vikram Yadav,36TTTTH9561M2ZS,TTTTH9561M,Telangana,Pharmaceuticals,28768335,287.7,-189681,-0.66,10832250,8680947,2151302,6318982,14217445,7015481,70.2,4.04,0.3,2.03,0.22,24,89,5,7,5.48,15.54,471,0,0,60.7,MEDIUM,CONDITIONAL APPROVAL,0
29,Mishra Brothers Pvt Ltd,Harish Desai,27BBBFJ5632W2Z4,BBBFJ5632W,Maharashtra,Logistics,31835495,318.4,3216959,10.1,12905070,10655885,2249185,8389926,7989754,16513486,165.1,4.74,2.11,0.48,0.26,8,21,8,4,36.34,39.6,596,0,0,60.8,MEDIUM,CONDITIONAL APPROVAL,0
30,Iyer & Sharma Associates Pvt Ltd,Pooja Iyer,27RRRJO2317T1ZR,RRRJO2317T,Maharashtra,Retail,16976426,169.8,256449,1.51,6203245,4635387,1567858,1837086,3761174,4418151,44.2,2.96,0.63,0.85,0.11,11,45,7,5,11.84,23.93,602,0,0,53.5,HIGH,CONDITIONAL APPROVAL,0
31,Divya Desai Products LLP,Neha Bhatia,29KKKHV2713F2ZQ,KKKHV2713F,Karnataka,Pharmaceuticals,36799990,368.0,2760155,7.5,12129401,4364159,7765242,3271261,7331586,6543140,65.4,0.56,4.57,1.12,0.09,26,38,3,9,32.15,36.6,487,1,0,71.1,MEDIUM,APPROVE WITH CONDITIONS,0
32,Bhatia & Jain Manufacturers Pvt Ltd,Anil Singh,27BBBFI9998E2ZS,BBBFI9998E,Maharashtra,Textile,15657982,156.6,986387,6.3,5573251,1930887,3642364,1229023,1670185,4347723,43.5,0.53,2.46,0.38,0.08,17,20,5,7,14.57,25.83,476,0,0,88.0,LOW,APPROVE,0
33,Desai & Bhatt Solutions & Co,Kapil Sethi,29HHHJR3369M1ZW,HHHJR3369M,Karnataka,Retail,16008949,160.1,695147,4.34,5636365,1148699,4487666,932421,670719,6003825,60.0,0.26,1.25,0.11,0.06,22,13,8,4,22.23,27.72,633,0,0,82.8,LOW,APPROVE,0
34,Priya Products,Naresh Sethi,33KKKFW4912S2ZE,KKKFW4912S,Tamil Nadu,Logistics,8770897,87.7,367851,4.19,4976595,4090058,886538,1340431,3415264,3845517,38.5,4.61,1.04,0.89,0.15,6,67,10,2,10.03,33.84,500,0,0,57.7,MEDIUM,CONDITIONAL APPROVAL,0
35,Divya Solutions & Co,Arjun Jain,06CCCJZ5342K3ZP,CCCJZ5342K,Haryana,Manufacturing,39155570,391.6,157243,0.4,16648706,10944099,5704606,9281812,19593842,20956986,209.6,1.92,0.3,0.93,0.24,25,79,8,4,54.13,21.25,642,0,0,49.0,HIGH,HIGH RISK — COLLATERAL REQUIRED,0
36,Rao Fabrics LLP,Divya Singh,29JJJAB6314Z1ZI,JJJAB6314Z,Karnataka,IT/ITES,14660851,146.6,4014189,27.38,6413335,1866483,4546853,1038444,1582992,2305911,23.1,0.41,18.86,0.69,0.07,18,7,7,5,16.02,17.5,537,1,0,100.0,LOW,APPROVE,0
37,Rakesh Brothers LLP,Kiran Desai,29OOOGV9955F1ZS,OOOGV9955F,Karnataka,Food Processing,25524024,255.2,1619240,6.34,18775853,16902170,1873683,9105684,7224554,9049353,90.5,9.02,1.54,0.8,0.36,26,29,8,4,7.31,51.89,532,0,0,35.0,HIGH,HIGH RISK — COLLATERAL REQUIRED,1
38,Arjun Mishra Works Ltd,Kiran Joshi,08BBBTX9138J1ZM,BBBTX9138J,Rajasthan,Textile,11310290,113.1,304420,2.69,10716205,9207572,1508633,3686269,10026587,4117986,41.2,6.1,0.72,2.43,0.33,15,12,10,2,6.32,53.79,718,0,0,62.6,MEDIUM,CONDITIONAL APPROVAL,0
39,Anil Kapoor Enterprises Pvt Ltd,Rajan Modi,27QQQGF5210P2ZL,QQQGF5210P,Maharashtra,IT/ITES,20677785,206.8,5821758,28.15,7226272,2728953,4497319,2162098,5324074,10065393,100.7,0.61,6.27,0.53,0.1,15,50,6,6,14.97,25.02,386,0,0,100.0,LOW,APPROVE,0
40,Harish Products LLP,Divya Modi,29LLLBV4830P1ZZ,LLLBV4830P,Karnataka,Retail,6142984,61.4,364486,5.93,4856882,2629915,2226967,1383762,2803134,1284567,12.8,1.18,2.28,2.18,0.23,29,592,9,3,9.17,19.24,715,0,0,100.0,LOW,APPROVE,0
41,Pooja Manufacturers Ltd,Ramesh Khanna,24XXXPN3531N3Z6,XXXPN3531N,Gujarat,Manufacturing,12528500,125.3,1525649,12.18,3966263,3268946,697317,1016684,654507,4306462,43.1,4.69,3.84,0.15,0.08,2,22,10,2,27.67,59.22,900,0,0,69.2,MEDIUM,APPROVE WITH CONDITIONS,0
42,Tiwari Works Pvt Ltd,Rajan Yadav,33GGGEU1349B2ZF,GGGEU1349B,Tamil Nadu,Auto Components,30316987,303.2,2412558,7.96,15630285,8348705,7281580,5367679,3462930,9468134,94.7,1.15,2.76,0.37,0.18,2,25,10,2,9.5,45.33,706,0,1,74.8,MEDIUM,APPROVE WITH CONDITIONS,0
43,Naresh Trading Co & Co,Neha Patel,27AAACI1858E3ZQ,AAACI1858E,Maharashtra,Manufacturing,29569613,295.7,4658799,15.76,18746999,16385876,2361124,7099040,6872030,18548335,185.5,6.94,2.72,0.37,0.24,25,107,12,0,21.28,3.36,667,0,0,86.2,LOW,APPROVE,0
44,Sunil Iyer Works,Mukesh Chopra,08OOOBC6277T1Z4,OOOBC6277T,Rajasthan,Textile,13137585,131.4,1041884,7.93,5618999,4043797,1575202,3193558,3526513,5072740,50.7,2.57,2.23,0.7,0.24,29,58,8,4,17.13,50.72,610,1,0,80.4,LOW,APPROVE,0
45,Gupta & Kulkarni Products Pvt Ltd,Ashish Chopra,07KKKLK5176L1ZU,KKKLK5176L,Delhi,Retail,13262559,132.6,445285,3.36,13084551,5159547,7925004,2165325,1748910,8311030,83.1,0.65,0.58,0.21,0.16,21,77,5,7,13.92,9.26,524,0,0,74.3,MEDIUM,APPROVE WITH CONDITIONS,0
46,Suresh Works,Manish Deshpande,33VVVJH2773L3ZN,VVVJH2773L,Tamil Nadu,Textile,11045758,110.5,625940,5.67,3801411,2872599,928813,1871525,2403436,7166887,71.7,3.09,0.95,0.34,0.17,24,16,7,5,22.67,29.08,779,0,0,77.7,LOW,APPROVE WITH CONDITIONS,0
47,Neha Kulkarni Traders Ltd,Ganesh Iyer,27UUUAC9691G2ZQ,UUUAC9691G,Maharashtra,Textile,7748947,77.5,658806,8.5,3377324,2410774,966550,1378731,3590382,1982624,19.8,2.49,3.6,1.81,0.18,7,70,6,6,22.1,27.6,564,0,0,93.7,LOW,APPROVE,0
48,Harish Sharma Manufacturers LLP,Divya Chopra,33DDDHN2816J3ZV,DDDHN2816J,Tamil Nadu,Retail,6606133,66.1,243623,3.69,4843474,1631418,3212057,1148343,1952167,1695147,17.0,0.51,1.56,1.15,0.17,3,56,11,1,14.5,20.34,725,0,0,76.1,LOW,APPROVE WITH CONDITIONS,0
49,Suresh Kapoor Technologies Pvt Ltd,Satish Kumar,27ZZZHC7505X1ZR,ZZZHC7505X,Maharashtra,Pharmaceuticals,47617041,476.2,3338397,7.01,18243238,10081840,8161398,4629480,7421694,30304536,303.0,1.24,1.19,0.24,0.1,10,11,3,9,9.75,8.73,673,0,0,76.0,LOW,APPROVE WITH CONDITIONS,0
50,Kumar Enterprises & Co,Vikram Mehta,27HHHLS7560Q1ZP,HHHLS7560Q,Maharashtra,Steel,93313918,933.1,2176527,2.33,75988483,45082165,30906318,32340930,24040048,37612034,376.1,1.46,0.58,0.64,0.35,10,27,11,1,21.63,23.17,764,1,0,63.0,MEDIUM,CONDITIONAL APPROVAL,0
51,Harish Associates Ltd,Neha Sethi,36FFFEP8601Y3ZS,FFFEP8601Y,Telangana,Pharmaceuticals,76219206,762.2,9494108,12.46,24940933,11435778,13505155,5772425,6267276,30066607,300.7,0.85,3.42,0.21,0.08,1,32,9,3,11.66,46.78,724,0,0,80.5,LOW,APPROVE,0
52,Mahesh Sethi Technologies & Co,Deepak Sharma,24CCCTT9307M2ZZ,CCCTT9307M,Gujarat,Textile,10774358,107.7,340827,3.16,10414727,4869744,5544983,2618286,7130008,4052317,40.5,0.88,0.91,1.76,0.24,28,8,6,6,12.12,33.08,591,0,0,86.3,LOW,APPROVE,0
53,Singh & Deshpande Exports,Sunil Jain,29JJJLN6543V3Z3,JJJLN6543V,Karnataka,Food Processing,14673008,146.7,863086,5.88,10789324,8870268,1919055,6996243,8793366,4508925,45.1,4.62,1.07,1.95,0.48,17,16,9,3,32.52,7.45,620,0,0,53.3,HIGH,CONDITIONAL APPROVAL,0
54,Paresh Patel International Ltd,Mahesh Kulkarni,24XXXEQ2531U3ZR,XXXEQ2531U,Gujarat,Auto Components,47797735,478.0,5577273,11.67,34191942,23732132,10459810,18888337,49680933,7387097,73.9,2.27,2.56,6.73,0.4,26,26,5,7,37.62,7.36,615,1,0,68.6,MEDIUM,APPROVE WITH CONDITIONS,0
55,Mishra & Sinha Products & Co,Neha Desai,21TTTCX8170B2ZN,TTTCX8170B,Odisha,Steel,23022862,230.2,1490291,6.47,8685912,2682846,6003066,2081210,2575343,5506280,55.1,0.45,2.93,0.47,0.09,19,73,7,5,12.36,18.43,862,0,0,100.0,LOW,APPROVE,0
56,Kapil Solutions LLP,Suresh Bhatia,33IIIAU8873L3Z6,IIIAU8873L,Tamil Nadu,IT/ITES,19406152,194.1,3358044,17.3,10388663,5167477,5221186,2483181,1886059,11352841,113.5,0.99,3.2,0.17,0.13,22,44,10,2,22.13,26.55,694,0,0,85.1,LOW,APPROVE,0
57,Verma Associates,Kapil Chopra,08AAAHD6493Z1Z8,AAAHD6493Z,Rajasthan,Textile,14689625,146.9,1365019,9.29,7720637,6313124,1407513,5021573,13251994,5020674,50.2,4.49,2.36,2.64,0.34,10,40,9,3,38.03,4.29,578,0,0,77.2,LOW,APPROVE WITH CONDITIONS,0
58,Suresh Rao Suppliers Pvt Ltd,Paresh Agarwal,03TTTJC2816P3ZY,TTTJC2816P,Punjab,Manufacturing,36399306,364.0,3060788,8.41,32266642,13258848,19007794,5374298,8920292,21214335,212.1,0.7,1.56,0.42,0.15,5,47,7,5,48.59,29.51,577,0,0,66.9,MEDIUM,APPROVE WITH CONDITIONS,0
59,Kulkarni Solutions,Dinesh Kapoor,27IIIAL2106L1Z6,IIIAL2106L,Maharashtra,Logistics,22189805,221.9,1456947,6.57,7354157,1705044,5649113,1434395,3146179,11918712,119.2,0.3,1.32,0.26,0.06,12,6,10,2,59.29,32.19,745,0,0,65.9,MEDIUM,APPROVE WITH CONDITIONS,0
60,Sethi & Malhotra International Pvt Ltd,Divya Sinha,33JJJPM9897P2Z2,JJJPM9897P,Tamil Nadu,Textile,11852578,118.5,569549,4.81,5537779,4945042,592736,3442765,5240934,3296749,33.0,8.34,1.43,1.59,0.29,2,72,7,5,13.28,1.51,660,0,0,38.2,HIGH,HIGH RISK — COLLATERAL REQUIRED,1
61,Pooja International LLP,Ramesh Agarwal,07FFFPJ6262D1ZK,FFFPJ6262D,Delhi,Logistics,13345142,133.5,501304,3.76,4191689,3739699,451990,2008370,1811569,8588267,85.9,8.27,0.63,0.21,0.15,1,27,10,2,4.98,28.41,639,1,0,14.6,VERY HIGH,REJECT,1
62,Pooja International Ltd,Sunita Joshi,36TTTEZ8179B1Z4,TTTEZ8179B,Telangana,IT/ITES,8398995,84.0,953737,11.36,3533199,2529436,1003763,932853,744884,3598207,36.0,2.52,2.87,0.21,0.11,19,10,12,0,24.34,4.99,512,1,1,61.7,MEDIUM,CONDITIONAL APPROVAL,0
63,Pooja Traders,Ashish Agarwal,33RRRBI5264W2ZD,RRRBI5264W,Tamil Nadu,Auto Components,41052984,410.5,1873584,4.56,15871712,4479631,11392082,1731286,3615673,16696957,167.0,0.39,1.22,0.22,0.04,19,14,10,2,37.1,37.58,585,0,0,64.2,MEDIUM,CONDITIONAL APPROVAL,0
64,Verma & Jain Enterprises Ltd,Ritu Bhatia,07UUUCZ6922Q1Z7,UUUCZ6922Q,Delhi,Logistics,17587257,175.9,897222,5.1,6603993,4791408,1812585,1888775,4166197,5299395,53.0,2.64,1.83,0.79,0.11,29,18,10,2,30.11,43.24,606,0,0,82.9,LOW,APPROVE,0
65,Ramesh Modi Fabrics Pvt Ltd,Rajan Mishra,29QQQHE3981Y1ZR,QQQHE3981Y,Karnataka,IT/ITES,16118457,161.2,1922898,11.93,5896749,4672487,1224262,2321351,1205799,9181137,91.8,3.82,2.27,0.13,0.14,23,33,4,8,21.65,24.04,474,1,0,57.1,MEDIUM,CONDITIONAL APPROVAL,0
66,Anita Works,Harish Tandon,07FFFTS3526F3ZL,FFFTS3526F,Delhi,Logistics,21038291,210.4,2125402,10.1,7487402,6187888,1299514,4711669,5581676,10095894,101.0,4.76,2.28,0.55,0.22,13,17,6,6,23.03,21.35,744,0,0,79.7,LOW,APPROVE WITH CONDITIONS,0
67,Sinha Fabrics & Co,Kapil Mehta,29PPPJG6573T1ZK,PPPJG6573T,Karnataka,Food Processing,10846146,108.5,516575,4.76,6024980,4989812,1035169,2854949,6301768,5804921,58.0,4.82,0.96,1.09,0.26,17,37,9,3,28.48,28.94,651,1,0,46.1,HIGH,HIGH RISK — COLLATERAL REQUIRED,0
68,Neha Arora Technologies Ltd,Ramesh Desai,33FFFHS6123G1ZV,FFFHS6123G,Tamil Nadu,Textile,13481972,134.8,269967,2.0,8548742,6423937,2124804,4009387,6847328,3390672,33.9,3.02,0.58,2.02,0.3,13,14,9,3,15.81,30.42,739,0,0,78.8,LOW,APPROVE WITH CONDITIONS,0
69,Iyer & Modi Traders Pvt Ltd,Paresh Kulkarni,33IIIHY7606L1ZP,IIIHY7606L,Tamil Nadu,Retail,1903044,19.0,66045,3.47,770721,486036,284684,270879,538299,1075251,10.8,1.71,0.67,0.5,0.14,22,11,4,8,29.87,28.21,649,1,0,56.9,MEDIUM,CONDITIONAL APPROVAL,0
70,Bhatt & Kulkarni Fabrics & Co,Harish Tandon,07BBBAE6456Z2ZX,BBBAE6456Z,Delhi,Logistics,27671925,276.7,1820442,6.58,9546862,4521082,5025780,1593980,879659,4922138,49.2,0.9,4.01,0.18,0.06,28,5,4,8,18.25,13.71,596,0,0,85.7,LOW,APPROVE,0
71,Vikram Industries & Co,Anita Singh,33XXXEA8775I3ZE,XXXEA8775I,Tamil Nadu,Textile,14710566,147.1,346555,2.36,9745436,7063428,2682008,3322107,2769227,7625995,76.3,2.63,0.49,0.36,0.23,5,34,10,2,20.05,11.86,685,0,0,66.8,MEDIUM,APPROVE WITH CONDITIONS,0
72,Manish Fabrics Ltd,Harish Reddy,27XXXAW3262Q1ZZ,XXXAW3262Q,Maharashtra,IT/ITES,3828953,38.3,794004,20.74,1306598,1153171,153427,666931,1433638,2168971,21.7,7.52,3.97,0.66,0.17,10,26,11,1,24.97,20.54,513,0,0,74.5,MEDIUM,APPROVE WITH CONDITIONS,0
73,Deshpande & Sethi Products Ltd,Mukesh Mishra,06RRRGJ2996S3ZY,RRRGJ2996S,Haryana,Auto Components,14424399,144.2,1740164,12.06,4563860,3728004,835855,2316297,6060483,2518201,25.2,4.46,6.51,2.41,0.16,8,5,10,2,7.75,17.05,684,0,0,90.3,LOW,APPROVE,0
74,Shah & Kumar Brothers,Ritu Mishra,07SSSFH1831V3ZE,SSSFH1831V,Delhi,Logistics,25384453,253.8,1740028,6.85,7962426,6750992,1211434,5186898,9861068,14636333,146.4,5.57,1.29,0.67,0.2,14,32,7,5,0.33,23.23,433,1,0,45.1,HIGH,HIGH RISK — COLLATERAL REQUIRED,0
75,Mahesh Khanna Associates LLP,Manish Desai,06HHHPX1611F2ZB,HHHPX1611F,Haryana,Auto Components,11345095,113.5,941192,8.3,4515965,4072371,443594,1679761,2145611,4366985,43.7,9.18,2.33,0.49,0.15,9,91,8,4,54.3,26.75,858,0,0,51.5,HIGH,CONDITIONAL APPROVAL,0
76,Deepak Shah Suppliers Ltd,Sunita Mehta,33ZZZBK3662X2ZG,ZZZBK3662X,Tamil Nadu,Retail,9968130,99.7,621277,6.23,3318359,2614611,703748,1760159,3189921,6208299,62.1,3.72,1.08,0.51,0.18,28,29,9,3,37.54,31.32,581,0,0,59.9,MEDIUM,CONDITIONAL APPROVAL,0
77,Neha Exports Pvt Ltd,Paresh Reddy,27OOOGK5947S3Z0,OOOGK5947S,Maharashtra,Pharmaceuticals,35012166,350.1,5108237,14.59,14612898,12724439,1888460,10008678,19189795,12757123,127.6,6.74,4.34,1.5,0.29,19,71,6,6,14.05,23.93,711,1,0,58.1,MEDIUM,CONDITIONAL APPROVAL,0
78,Mishra & Singh Traders Ltd,Anil Tiwari,27WWWPP9806Z3ZD,WWWPP9806Z,Maharashtra,Food Processing,8309730,83.1,586785,7.06,3615270,2894944,720327,2007297,1793971,1680570,16.8,4.02,2.53,1.07,0.24,21,148,7,5,17.66,50.79,663,0,0,82.0,LOW,APPROVE,0
79,Agarwal & Gupta Technologies Pvt Ltd,Mahesh Desai,27QQQLO1945R2ZJ,QQQLO1945R,Maharashtra,Steel,60664960,606.6,-619458,-1.02,24225876,11241845,12984030,6972186,7476118,29156592,291.6,0.87,0.3,0.26,0.11,18,61,10,2,18.8,37.3,492,0,0,70.6,MEDIUM,APPROVE WITH CONDITIONS,0
80,Patel & Bhatt Trading Co,Priya Reddy,27NNNHM8348M2Z5,NNNHM8348M,Maharashtra,IT/ITES,18399387,184.0,2478302,13.47,17841921,10374112,7467809,8603174,13450356,6556345,65.6,1.39,2.5,2.05,0.47,10,5,7,5,9.92,23.71,697,0,0,97.3,LOW,APPROVE,0
